No,file,Cd,diff,percent
0,105a77e198fd243eab07f3d736b6f705,0.350497596,0.0097007,0.027676937
1,105a77e198fd243eab07f3d736b6f705_aug,0.351037733,0.0131901,0.037574593
2,10716a366de708b8fac96522b26f7fd,0.412332333,0.0084042,0.020382103
3,10716a366de708b8fac96522b26f7fd_aug,0.328315667,0.0059009,0.017973251
4,1079efee042629d4ce28f0f1b509eda,0.341476952,0.0075488,0.022106324
5,1079efee042629d4ce28f0f1b509eda_aug,0.338112685,0.0102032,0.030176922
6,1089cbe82dc0e72133d7c9e122eec9b6,0.442198752,0.0120496,0.027249285
7,109567d7d55b8fe515a520abec2f04dd,0.473927044,0.0134224,0.028321659
8,109567d7d55b8fe515a520abec2f04dd_aug,0.438925585,0.0095026,0.021649684
9,1096a3284751db563494893564e07d4a,0.440578444,0.0052715,0.011964952
10,1096a3284751db563494893564e07d4a_aug,0.443536027,0.0044138,0.00995139
11,10b59082091513b3e66cabd11ba41eae,0.372765506,0.0117947,0.031641071
12,10c19d45fed88e6984c322bbb3fe1ad,0.399002263,0.0012174,0.003051111
13,10c19d45fed88e6984c322bbb3fe1ad_aug,0.412440642,0.0071918,0.017437176
14,10cc4974157f8890c5d97accdeaf9792,0.425309406,0.0022946,0.005395131
15,10cc4974157f8890c5d97accdeaf9792_aug,0.446073181,0.0080313,0.018004445
16,10d388f6f578e4e8851f021b9ed69c58_aug,0.415338179,0.017879,0.043046849
17,10de315497dbce1d5d51c15712538c3c,0.378329298,0.0038534,0.010185307
18,10de315497dbce1d5d51c15712538c3c_aug,0.358588063,0.0059113,0.016484932
19,10e99b1475098c0aaa69dfdc5532bb13,0.418023933,0.0136499,0.032653394
20,10f158d2f43926ac80360680c1602c7d,0.468410013,0.0145895,0.031146858
21,10f158d2f43926ac80360680c1602c7d_aug,0.447700152,0.0167446,0.037401372
22,10fda5aa525f6232be8100817bfe3c8a,0.389281419,0.0031588,0.008114438
23,10fda5aa525f6232be8100817bfe3c8a_aug,0.389445412,0.0013003,0.00333885
24,112dbe7aec2c6a96436916a86a90ed7_aug,0.31067191,0.0063447,0.020422509
25,1151e7cd24f5bd21ccbd9e5bb82dd04,0.390917296,0.0024332,0.006224334
26,1151e7cd24f5bd21ccbd9e5bb82dd04_aug,0.393412198,0.0037263,0.009471745
27,1179e37d657c3eb66436916a86a90ed7,0.335439533,0.0034213,0.010199454
28,1179e37d657c3eb66436916a86a90ed7_aug,0.34369976,0.0028587,0.008317434
29,119033fe083145e22f31600ac759c763_aug,0.334750527,0.0135803,0.04056842
30,119464e186d8ef6f52aa494042b7c9db,0.321674769,0.0104373,0.032446747
31,119464e186d8ef6f52aa494042b7c9db_aug,0.31560331,0.0093824,0.029728459
32,11a3ed3fa7b4b80b6782fc9cb2c37844,0.288173708,0.0101548,0.035238468
33,11a3ed3fa7b4b80b6782fc9cb2c37844_aug,0.304056323,0.0063602,0.020917835
34,11a96098620b2ebac2f9fb5458a091d1,0.438776096,0.0059346,0.013525349
35,11a96098620b2ebac2f9fb5458a091d1_aug,0.417576594,0.0069214,0.016575163
36,11d1fdaedf3ab83b8fb28f8a689c8ba3_aug,0.340451887,0.0034809,0.010224352
37,11d3ec621322ca723c35e65001c8c258,0.34873599,0.0037443,0.010736775
38,11d3ec621322ca723c35e65001c8c258_aug,0.339738983,0.0024911,0.007332394
39,11ed2151cc752a548958855d2c5465cf,0.368083625,0.0040762,0.011074114
40,11ed2151cc752a548958855d2c5465cf_aug,0.402620546,0.0058969,0.014646297
41,1213742aa7815fd0e23d60a1b706b44f,0.376434452,0.0047811,0.012701016
42,1213742aa7815fd0e23d60a1b706b44f_aug,0.372664094,0.0026393,0.007082249
43,12243301d1c8148e33d7c9e122eec9b6,0.446014125,0.0046906,0.010516707
44,125a4780c2d5095d19454008aa267bf,0.4767387,0.0004714,0.000988802
45,125a4780c2d5095d19454008aa267bf_aug,0.471282323,0.0013739,0.002915238
46,125be09e498dcfde55048eb8b7ed14b6,0.360445852,0.0187282,0.051958428
47,125be09e498dcfde55048eb8b7ed14b6_aug,0.340312535,0.0127909,0.037585745
48,126ab047e114433f1dd25374e2be795,0.376944421,0.0131445,0.034871189
49,126ab047e114433f1dd25374e2be795_aug,0.385046552,0.0024522,0.006368581
50,12711a683ffb81bad536c1ebda275556,0.327726196,0.0013944,0.004254771
51,12711a683ffb81bad536c1ebda275556_aug,0.327747737,0.0046256,0.014113294
52,127435fd1a61550887dc1da2515df8f7,0.430992173,0.0253378,0.058789467
53,127435fd1a61550887dc1da2515df8f7_aug,0.437153754,0.0099804,0.022830411
54,127b9ba77b54ba59bda733a39f84326d_aug,0.341498902,0.0004723,0.001383021
55,1284876ac0e2371aa4dbb766064f8bbf,0.309409342,0.0001932,0.000624416
56,1284876ac0e2371aa4dbb766064f8bbf_aug,0.315599829,0.0001528,0.000484157
57,128ad72f92a3e96db96212c8f6cd06e,0.42893605,0.0002632,0.000613611
58,12941cb870df79b9815337ac44abb964,0.43088171,0.0085149,0.019761572
59,12941cb870df79b9815337ac44abb964_aug,0.413195,0.0040475,0.009795617
60,12a034b6be9afb50ae983613a2e0a741,0.487834644,0.0099486,0.020393386
61,12a034b6be9afb50ae983613a2e0a741_aug,0.498382771,0.0101431,0.020352028
62,12a0dcc66c989decb915e7c6dfc74ab,0.413205273,0.0027276,0.006601077
63,12a0dcc66c989decb915e7c6dfc74ab_aug,0.409730983,0.0011828,0.002886772
64,12a11a800f6869d99ea5c205086e2a63,0.441301262,0.0354691,0.080373892
65,12a11a800f6869d99ea5c205086e2a63_aug,0.418176721,0.0216483,0.051768305
66,12a445770f7d6f2b70a43c2d978e502e,0.458407398,0.0522638,0.114011685
67,12a445770f7d6f2b70a43c2d978e502e_aug,0.461584808,0.0317841,0.068858635
68,12b5e4f52c22b348d8499d8846cb4c3b,0.307785933,0.0003089,0.00100362
69,12b5e4f52c22b348d8499d8846cb4c3b_aug,0.294053925,0.0007963,0.002708007
70,12cd99c20b1a5a932e877e82c90c24d,0.429481117,0.0202533,0.047157603
71,12d463649ed6c176ab98a7077c964a60,0.401724552,0.0024439,0.006083522
72,12d463649ed6c176ab98a7077c964a60_aug,0.408775235,0.0019918,0.004872604
73,12d7c4013415ea147f5b0cb87a91de52,0.315504819,0.0090005,0.028527298
74,12d7c4013415ea147f5b0cb87a91de52_aug,0.334813223,0.0050501,0.015083335
75,130b1d8d6ded598ef2cdad303f49c9f9,0.357602977,0.0041781,0.011683628
76,130b1d8d6ded598ef2cdad303f49c9f9_aug,0.350893213,0.0060638,0.017281041
77,1313f9ebc319271b532fe10b91889f2b,0.316090844,0.0009143,0.002892523
78,1313f9ebc319271b532fe10b91889f2b_aug,0.325505217,0.0008786,0.002699189
79,1328a95d69cefe32f200a72c9245aee7,0.427078885,0.0134844,0.031573558
80,1328a95d69cefe32f200a72c9245aee7_aug,0.435346035,0.0149768,0.034402059
81,13353d601c189244c23a72fe560e6753,0.51253156,0.0081269,0.015856389
82,13353d601c189244c23a72fe560e6753_aug,0.531215306,0.0143224,0.026961573
83,135e6c63ca10dd9fab711dc2dd9249b0,0.479151713,0.027917,0.058263383
84,135e6c63ca10dd9fab711dc2dd9249b0_aug,0.478923681,0.0292294,0.061031436
85,136b0793373b1fc9e9d8921ebe6d5b8e,0.526710125,0.014421,0.027379386
86,136b0793373b1fc9e9d8921ebe6d5b8e_aug,0.537072013,0.0179584,0.033437602
87,139718b631cbca546a36136419d55d5c,0.295706081,0.0130498,0.044130983
88,139718b631cbca546a36136419d55d5c_aug,0.295578883,0.0089027,0.03011954
89,13f816dcec3f6363f7e74112dde4b19b,0.432868833,0.0070797,0.016355301
90,13f816dcec3f6363f7e74112dde4b19b_aug,0.41666916,0.0027685,0.00664436
91,1466b91f01aafba9ed3696d854eee1ec,0.406099913,0.0115843,0.028525739
92,1466b91f01aafba9ed3696d854eee1ec_aug,0.400338408,0.0053424,0.01334471
93,147889b73fa491d82e877e82c90c24d,0.451818763,0.0031556,0.006984216
94,147889b73fa491d82e877e82c90c24d_aug,0.44156191,0.0040859,0.009253289
95,147eca8afd2d3da291a714d137f7e052_aug,0.40148105,0.0242923,0.060506716
96,149978eefad83cbafd8e7b05498794b9,0.346618406,0.0031658,0.009133387
97,149978eefad83cbafd8e7b05498794b9_aug,0.345548117,0.0046229,0.013378455
98,14ace3e8d05f8d21a413908c0e169330,0.37505409,0.0073244,0.019528916
99,14ace3e8d05f8d21a413908c0e169330_aug,0.360481581,0.0272812,0.075679872
100,14caf086a8cbf59f709a6634bf501a9e,0.394644931,0.0070141,0.017773192
101,14caf086a8cbf59f709a6634bf501a9e_aug,0.394744937,0.0063841,0.016172722
102,14d47aa57151ae4baa93570ec0c0afff,0.319604552,0.0071459,0.022358568
103,14d47aa57151ae4baa93570ec0c0afff_aug,0.323715535,0.0073377,0.022667123
104,15189ac0d9a6364819d0b04fbc21ff71,0.39732456,0.0002506,0.000630719
105,15189ac0d9a6364819d0b04fbc21ff71_aug,0.392414888,0.0010404,0.002651276
106,151bebc457224c2733d7c9e122eec9b6,0.461384481,0.0011279,0.002444599
107,151bebc457224c2733d7c9e122eec9b6_aug,0.462627573,0.0080172,0.017329706
108,1520d7ab01b96a4d2f20449572a3a77c,0.355207529,0.0045859,0.012910481
109,1520d7ab01b96a4d2f20449572a3a77c_aug,0.356753904,0.0017097,0.004792379
110,1523461a96bcc90668c415156b102065,0.365991579,0.016703,0.045637662
111,1523461a96bcc90668c415156b102065_aug,0.37093029,0.0021907,0.005905961
